label,text-cat,pm-cat,sa-cat,cond-cat,Gloss of PM,Notes,Speech token
res, if you've got battery packs or solar cells they will break down ,p --> q,A,Y,,,S1A-088 144
res, if it came over a populated area it wouldn't be very nice for them ,p',A,Y,it's a good job it came over a non-populated area,,S1A-088 153
res, if it's properly shielded it should do ,q,A,Y,,,S1A-088 160
ifh, I'll try and show you if I can ,q,C,Y,,,S1A-088 173
dir, if you look at the root of that cusp you can see a crack across it ,p --> q,D,Y,,,S1A-088 193
inf, If you're looking at the microwave properties then you need to fashion a cavity ,q,A,Y,,,S1A-089 035
dir, If we did the preparation just before you went and put it on secure it temporarily for a fortnight (063) and then we could cement the crown on that window before you went to Abingdon ,p --> q,C,Y,,,S1A-089 060
inf, if it's only three weeks in total no reason to rush it ,q,C,Y,,,S1A-089 064
res, If I pushed our luck now it may send may send it over the top and you may lose the tooth ,p',C,Y,I won't do it now,,S1A-089 068
dir, If you'll just come next door ,p,D,N,,no consequent,S1A-089 159
dir,OK if you'd like to come next door we'll just examine you ,p --> q,D,Y,,,S1A-089 199
res, if you run to train just run on grass and not on on concrete ,p --> q,D,Y,,,S1A-089 249
ifh, if you can possibly do it just run on grass and not on on concrete ,q,D,Y,,,S1A-089 249
dir," If you put your new address there, no there, and the old address and your name ",p,D,N,,no consequent,S1A-089 280
res, if you see Genevieve will you say that we're going to Palms? ,p --> q,D,Y,,question,S1A-090 003
dir, if I call in with you one day on the way up there or on the way back then I've got the stuff ,p,C,Y,,,S1A-090 026
ifh, Come and see me if you want to ,q,D,Y,,,S1A-090 153
res, in the holidays if I'm passing by in that direction ,q',C,Y,I might come in the holiday,,S1A-090 154
res, you forget how awful some people are if you haven't seen them for ages ,q',A,Y,some people are really awful,,S1A-090 211
inf, if you want to pass your exams you'd really better start now ,q,D,Y,,,S1A-091 034
dir,(189) Well it's always to do with men Jenny (190) So if you think of men it's going to be something... ,p,D,N,,,S1A-091 190
inf, why don't they use an extra if they want one line and one word? ,q,D,Y,,question,S1A-092 031
res, I strolled round the library this afternoon looking at videos for Emily to watch next week if she comes in to school ,q,A,N,,,S1A-092 098
ifh," the other's about this guy called Chomsky, who's, well one of the world's most important human beings if you happen to be interested in linguistics ",q,A,N,,,S1A-092 103
res,"(322:B) So he's going to punch the details into a screen (323:A) Well, if there's anything in ONE of the letters that I think is vaguely chatty ",p,A,Y,,no consequent,S1A-092 323
inf,(20:A) Are you actually going to bother getting a job? (023:B) if I'm going away in two weeks ,q',C,Y,I'm not going to get a job,no consequent,S1A-093 023
res, people will take this into consideration you know if they know somebody ,q,A,Y,,,S1A-093 202
pch, it's quite big isn't it if I remember ,q,A,Y,,,S1A-093 278
inf, if she's going to fight it (122) she's got to have strength ,q,A,Y,,,S1A-094 113
pch, it is even if anything better than the later Romanesque as he calls it ,q,A,N,,,S1A-094 257
tm, If you saw that window it must've been breath-taking ,p --> q,A,Y,,,S1A-094 320
res, If they'd only had five we'd've stood a good chance ,p --> q,A,Y,,,S1A-095 030
res, it's not bad if somebody can get a score tomorrow ,p',A,Y,let's hope somebody can get a score tomorrow,,S1A-095 096
res, if I pass it'll be a bonus ,p',A,Y,it would be nice to pass,,S1A-095 114
dir, if you can hold on just half a minute while I put these potatoes out ,p,D,N,,no consequent,S1A-095 174
ifh,(313:B) I'll contact grandma yes (315:A) I would if I were you ,q',D,Y,you should contact grandma,,S1A-095 315
inf,(164:B) I've kind of got to just reach the top of all this (166:A) Oh obviously if you're doing this ,q,A,Y,,,S1A-096 166
ifh, if you wanted to do something I'm looking for between six hundred and eight hundred words but I will stretch to a thousand ,q',D,N,you could do something between 6 and 800 words,,S1A-096 178
inf, if you count like accommodation and food on top of that that brings it up to about you know maybe two hundred and sixty a week ,p --> q,A,Y,,,S1A-097 102
inf, that's pretty good if you're not paying rent out of it ,q,A,Y,,,S1A-097 121
ifh, I'm thinking of venturing out there at some point if you were interested at some time ,q',D,N,would you like to come,,S1A-098 188
res, we don't have to worry about finding beds if and when we need them ,p --> q,A,N,,,S1A-099 051
inf, have something now if you're hungry ,q,D,N,,,S1A-099 110
res, if you just put it on an hour (215) it comes on after ten minutes or so anyway ,p --> q,A,Y,,even if,S1A-099 214
res, If you buy The Sun every day this week you only have to pay five quid for a coach trip ,p --> q,A,Y,,,S1A-099 286
ifh,(406:B) I'll tell you tomorrow (411:A) OK if you insist ,q,C,N,,,S1A-099 411
res, Did you have any kind of plan for if it wasn't ready for tomorrow? ,p --> q,D,N,,question,S1A-100 145
res, if we see the photos (150) we'll probably like them ,p --> q,A,Y,,,S1A-100 149
res, what happens if we hate them? ,p --> q,D,Y,,question,S1A-100 150
res, if you hate these photographs MORE than the one that's on the back of the album I think you should leave the one on the back of the album ,p --> q,D,Y,,even if,S1A-100 154
inf, if YOU turn round and say ``well hold on we want to change something'' at this point you're just playing straight into his hands ,p',D,Y,you shouldn't change anything,,S1A-100 154
res, if we were to go with it without photos on (158) But I mean we need photos really,p',C,N,we need photos,no consequent,S1A-100 157
inf, if you're having a party or anything like that it's probably best if you phone me ,q,D,Y,,,S1A-100 190
res, it's probably best if you phone me ,p,D,Y,,,S1A-100 190
inf, if you are going to come with us (200) Well just bear in mind that we're going to have to go on the bus ,q,D,Y,,,S1A-100 199
inf, if it's press and record people they'll be coming out early ,q,A,Y,,,S1A-100 247
res, if I got there at one o'clock I could wait outside for an hour or so and get people as they drift away from one o'clock on ,p',C,Y,I could try and get there at one o'clock,,S1A-100 260
res, if Mark's around (264) perhaps he could do it ,q',A,Y,you could ask Mark to do it,,S1A-100 263
inf, if Ezekiel had the idea Ezra and Nehemiah put it into practice ,q,A,N,,even if,S1B-001 018
res," If you read the description as to how Jacob spent the night in Bet-El, and he says how wondrous is this place, this is the gate to Heaven, this is the house of God you would really think from that, that Bet-El was going to be the site of a glorious temple ",p --> q,A,Y,,,S1B-001 039
inf,So if you put together Two One and Two Four you again have this equation (060) priests equals Levites ,p --> q,A,Y,,,S1B-001 059
inf," IF one tries to VIEW Malachi against the background of the hypothesis of development of Israel's religion, as Wellhausen proposed then one comes down pretty squarely in the period BEFORE priests and Levites were separated ",p --> q,A,Y,,,S1B-001 066
inf,Cos if you get it all right then you know I'm being paid for nothing ,p',D,Y,it's ok to get it wrong,,S1B-002 052
ifh,"So now we can have people object to it , if anybody WISHES to object to it ",q,D,N,,,S1B-002 068
dir, If you draw it on yeah on a bit of paper ,p,D,N,,no consequent,S1B-002 094
ifh, If you draw it on yeah on a bit of paper if you've got a spare piece of paper ,q,D,N,,,S1B-002 094
ifh, If you want a large black pencil that's a marker pencil which you have there ,q,A,N,,,S1B-002 100
res,So you would be happy if we put in a noun phrase there? ,p',D,Y,should we put a noun phrase there?,,S1B-002 118
res,I knew it would come if I waited long enough ,p',A,Y,I'm glad I waited,,S1B-002 148
dir,So if you can put both those down ,p,D,N,,no consequent,S1B-002 170
tm,So if you think ``how do we know that `on the mat' is a constituent''? -- we'll look at each of them -- (179) in each case you can trace the sequence of words `on the mat' back to a single node which doesn't dominate anything else ,q,A,N,,,S1B-002 178
res, if that's not clear speak ,p --> q,D,Y,,,S1B-002 181
tm, if you take `the mat' on the right hand tree there's no node that exhaustively dominates that determiner and noun ,p --> q,A,N,,,S1B-002 201
tm, if you look at the word `the' `the mat' `the mat' `the mats' it goes with `mat' not `on' ,p --> q,A,N,,,S1B-002 236
res, if you've got the constituent NP you should have prepositional phrase up here ,q,A,Y,,,S1B-002 242
res, If you had a noun phrase and a preposition with the one that you've just drawn just now (259:A) It's not going to allow us to do what? ,p --> q,D,Y,,,S1B-002 253
ifh,so what's the genetic thing? if anything ,q,D,Y,,question,S1B-003 032
inf, if in humans there is a genetically encoded part of language you'll have to find out to what extent language is genetically encoded ,p --> q,A,Y,,,S1B-003 035
tm, if you speak to a five-year-old they can SPEAK but like the content is very peculiar ,p --> q,A,N,,,S1B-003 063
res," If it is just from <unclear-words> say, when we get older and we try and learn a language at school or something like that it takes us YEARS to learn a language ",p --> q,A,N,,,S1B-003 090
inf, If there WAS an innate genetically encoded vocabulary she surely must have been able to say a few things ,p',A,Y,there is no innate genetically encoded vocabulary,,S1B-003 126
inf," If there was a BASIS that all human languages are based upon, and it's genetically encoded it would seem that somebody like that should have, just through the genetics, an idea of vocabulary and some sort of vocabulary ",p',A,Y,there is no innate genetically encoded vocabulary,,S1B-003 127
inf, That discounts it if you say that ,p',A,Y,what you say is wrong,,S1B-003 131
inf,Well if there was an innate VOCABULARY wouldn't you expect to go through all languages and find that they had the same words for things ,p',A,Y,there is no innate genetically encoded vocabulary,,S1B-003 135
inf," if there's these deaf children, they develop their own language maybe there is some idea of it ",q,A,Y,,,S1B-003 149
res, if there is no vocabulary you start making it up ,p --> q,A,Y,,,S1B-003 149
inf, if we're to include sign language as evidence for genetic basis for language what's the genetic basis? ,q,D,N,,,S1B-003 155
inf, if the genetic contribution was specifically for spoken language then it would just sort of have nothing to do ,p',A,Y,the genetic contribution is not just for spoken language,,S1B-003 159
inf," if this evidence more suggests that there's an innate drive to communicate by making some sort of sign which symbolizes the internal message, and that, well perhaps speech has some priority but in the absence of it, people start using any other sign that they can make ",p --> q,A,N,,,S1B-003 161
res, If you don't KNOW what someone means when you're giving these talks you should say ``I don't know what that means would you please explain'' ,p --> q,D,Y,,,S1B-003 178
inf,"(184) Can you quote any of the actual figures? (185) If you haven't got them I think for identical twins, I think I'm right, I think there's about fifty per cent ",q,A,N,,,S1B-003 185
inf," if you have two identical twins, right, and one of them is schizophrenic there is a fifty per cent chance that the other will be schizophrenic ",p --> q,A,Y,,,S1B-003 185
res," if you take a lot of observers and you ask them to measure a series of blood pressures, not necessarily all on the same person but on different patients (231) you'll find, when you plot the histogram, that the number zero is always usually more common than the other numbers ",p --> q,A,Y,,,S1B-004 229
res, that has to be done repeatedly throughout the survey if it's going on a long time so that they can pick out people who are systematically reading either high or low blood pressures ,q,A,Y,,,S1B-004 350
res," If you were an economic historian, which none of us thankfully are you would say what you have to explain here is the rise to dominance in the American economy of large business corporations, or as they're popularly but inaccurately called, `trusts' ",p --> q,A,Y,,,S1B-005 001
tm, if you look at Tarbull's record in real life what she's saying is the only way you can beat a powerfully organised business combination is by an equally powerful organisation of other business ties ,p --> q,A,N,,,S1B-005 024
res,the railroads are chartered by the State or if they're transportmental by the federal government ,p --> q,A,Y,,,S1B-005 044
res,You know if you put in a big order wouldn't you expect to get some kind of discount except for the fact as Tarbull would say the railroads are common carriers ,p --> q,A,Y,,,S1B-005 066
ifh,You do this by eliminating your competitors and moving if you CAN to a kind of monopoly type situation ,q,A,Y,,,S1B-005 136
pch, a good if somewhat unexpected point ,q,A,N,,even if,S1B-005 147
pch, if there is such a thing as a Jacksonian democracy that's what they're trying to do ,q,A,Y,,,S1B-005 155
res, security comes if you absolutely control all your industry ,p',A,Y,it was important to control all your industry,,S1B-005 171
inf,(185) he looked as if he were a man who was always on the lookout for enemies as if somebody was always trying to do him down. (186) Of course again if you were John D Rockefeller somebody probably always was but that's by the way ,q,A,Y,,,S1B-005 186
tm," if you had to go somewhere and choose a boundary for a geological system, you either choose a boundary between the draft and application where would you go? Where would be a good place to go Jackie? ",q,D,Y,,question,S1B-006 002
res, If you go up towards Aberystwyth you get this thing called Aberystwyth grits ,p --> q,A,Y,,,S1B-006 111
tm," if we were actually looking at the stratigraphic column then we would actually recognise there was a difference between the rocks that come before and the rocks that come afterwards in terms of their age and appearance and character and so on, and we would say that, perhaps, is a fairly important break ",q,A,Y,,,S1B-006 144
inf,(197) Bit difficult to correlate mass extinction (199) if they're not there you don't know what it means ,r,A,Y,"""mass extinction"" is not the right answer",,S1B-006 199
inf," if you can go to South Africa and Australia and Canada and find uh pre-Cambrian flint stones, these cherts and things like this which have got apparently some little faunal elements in them ",p --> q,A,Y,pre-Cambrian are not just igneous rocks,no consequent,S1B-006 233
res," if you were to divide up the stratigraphic column today you would get four main divisions, would it be? ",p --> q,D,Y,,,S1B-006 286
res,One thing's for sure is that if that lecturer turns round and says ``no there's nothing much written on that one'' all right at least you know that ,r,D,Y,you should ask the lecturer what to read,,S1B-007 061
ifh, Is that what it would bring to mind or where your interest would lie if you had to go and do something about it yourself? ,q,D,Y,,question,S1B-007 117
tm, if I took a starting-point as 1880 and the end point as 1980 what would be the difference between the temperatures in those two dates? ,p --> q,D,Y,,question,S1B-007 180
res,The organisation ARK has said that sea-level will rise by one metre if present pollution levels and conditions continue ,q,A,Y,,,S1B-007 199
pch,So if you like that is the definitive statement for the time being ,q,A,N,,,S1B-007 205
res, if there's a very big wide topic can you specialise into one thing in the essay title? ,q,D,Y,,,S1B-007 227
res,"It's because although you'll be marked on style and presentation if it's incoherent, you don't get to the starting-point (232) then that's not good enough ",p',D,Y,your essay must be coherent,,S1B-007 231
res, If there's no references if it's not produced with some material of an academic nature then that's not good enough ,p',D,Y,you must include references,,S1B-007 232
res,If there's no references if it's not produced with some material of an academic nature then that's not good enough ,p',D,Y,your essay must contain academic material,,S1B-007 232
res, you can't put down drivel and just present it so that it's all paginated nicely and you've got nice margins or spacings and so forth and all the tab settings are right if it's complete garbage ,p',D,Y,your essay must not be complete garbage,,S1B-007 233
inf, If you want to carve why don't you just carve it with carving tools? ,q,D,Y,,,S1B-008 030
dir, If I can continue <laughter> ,p,D,N,,no consequent,S1B-008 124
res, generally I continue painting if I'm enjoying it ,p --> q,A,Y,,,S1B-008 145
res,we will first talk about what would happen if you cut a peripheral nerve ,p --> q,A,Y,,,S1B-009 001
res," If you took a piece of the muscle and if you sliced it up and looked at it under a microscope and that muscle has been denervated, in other words, the nerve has been cut ",p --> q,D,Y,what would be the effect?,no consequent,S1B-009 016
res,"If you took a piece of the muscle and if you sliced it up and looked at it under a microscope and that muscle has been denervated, in other words, the nerve has been cut ",p --> q,D,Y,what would be the effect?,no consequent,S1B-009 016
res, If you pick up living muscle it resists a pull ,p --> q,A,Y,,,S1B-009 056
res, if it's just floppy like at the butcher's shop it doesn't ,p --> q,A,y,,,S1B-009 058
res, What happens if you change the spindle lengths? ,p --> q,D,Y,,,S1B-009 071
inf," if when you CUT a nerve and you look at the TARGET of that nerve, and in this case we're talking about muscle, and that target appears to die slightly, I mean not actually die, but become wasted what what does that tell you about the interaction between nerves and their targets? ",p --> q,D,Y,,question,S1B-009 125
inf," if when you cut a nerve, the target which innervates that nerve begins to show changes coming back, it should've become weaker and smaller what does it tell you about the NORMAL function of the nerve on that target? ",p --> q,D,Y,,,S1B-009 131
res, if your tongue is denervated if the nerve to your tongue is cut then the taste buds are STOPPED being renewed all the time ,p --> q,A,Y,,,S1B-009 165
res, if the nerve to your tongue is cut then the taste buds are STOPPED being renewed all the time ,p --> q,A,Y,,,S1B-009 165
res, if a nerve doesn't regenerate what happens to the muscle eventually? ,p --> q,D,Y,,,S1B-009 171
res, If in an experimental situation you did try and not allow it to regenerate then interestingly enough the muscle would atrophy to a certain point and no further ,p --> q,A,Y,,,S1B-009 176
res, what would be the effect if we keep the nerve intact but we cut a dorsal root? ,p --> q,D,Y,,,S1B-009 196
res, what would happen if you cut the dorsal root? ,p --> q,D,Y,,,S1B-009 201
inf, if you get a swelling of the whole gland it can't be a tumour ,p --> q,A,Y,,,S1B-010 080
res, if it doesn't swell it becomes palpable ,p --> q,A,Y,,even if,S1B-010 087
res,You can't find out by a preliminary biopsy because you only spread it around if it IS malign and hence make an eminently curable neoplasm incurable ,r,A,Y,you shouldn't do a biopsy,,S1B-010 090
res, as it grows if it's growing slowly all the time it's making the operation for saving the facial nerve technically more difficult ,r,A,Y,you should remove the tumour early,,S1B-010 103
res, if you get say a <unclear-word> of the breast then it's obviously more difficult cos you've got the cosmetic consideration to take ,p --> q,A,Y,,,S1B-010 135
res, If you ask them before they go into the theatre ``do they want a total mastectomy or a lumpectomy'' they'll probably say (164) a lumpectomy ,q,A,Y,,,S1B-010 163
res, IF you break the rules (009) the Stock Exchange will suspend trading in your shares ,p --> q,A,Y,,,S1B-011 007
res,So the Stock Exchange will suspend trading in your shares if you break the rules on a takeover ,p --> q,A,Y,,,S1B-011 009
res, If a BANK plays fast and loose with the rules (011) What do you think will happen? ,p --> q,D,Y,,,S1B-011 010
res, What do you think will happen in a takeover if the bank does naughty things like funding secret purchases of shares? ,p --> q,D,Y,,,S1B-011 011
tm," If the City Panel on Takeovers rules that a bank has broken the the code, financial rules (022) where does the licence come from? ",q,D,Y,,question,S1B-011 021
res, even if the Labour Party won an election and had a majority of seats in the House that particular party leader wouldn't have the support of the parliamentary Labour Party and therefore wouldn't command the majority of the House of Commons ,p --> q,A,Y,,even if,S1B-011 127
inf," even if we try to say that the constitution is that body of rules we discover that it's not just rules it's (143) systems, electoral systems...",p',A,Y,the constitution is not just a body of rules,even if,S1B-011 142
res, If the Government was to do something like that people would stop it ,p --> q,A,Y,,,S1B-011 170
res,"In an ideal democratic society if the Government was to propose an action like <unclear-words> of some sort it's the people who would let their elected members of parliament know, and the elected members of parliament would vote that way in the House of Commons ",r,A,Y,parliamentary members should stop the government,,S1B-011 171
res, if I do an hour before I get up I then feel I've already started and I feel very positive and I can slip back into it ,p',A,Y,I like to do an hour before I get up,,S1B-012 025
res, if I haven't done anything I find it really difficult to sit down ,p',A,Y,I like to do some work before I get up,,S1B-012 026
res, if we write anything that doesn't fit in directly ,p',D,Y,it's ok to write something that doesn't fit in to the model directly,no consequent,S1B-012 076
res, If you want to answer on simple come back in you know forty years or so <laugh> ,p',A,Y,it won't be simple,,S1B-012 107
res,I wonder if it would help if I gave you my thesis ,p,C,Y,,,S1B-012 182
tm, if you imagine a function which is just (006) If it goes up like that and then it starts going down you've got a problem ,q',A,N,the function can't go up and down like that,,S1B-013 004
res, If it goes up like that and then it starts going down you've got a problem ,p',A,Y,the function can't go up and down like that,,S1B-013 007
inf," if you have f(x1) is equal to f(x2), and x1 doesn't equal x2, say x1 is strictly less than x2 then you know that f(x1) is less than f(x2) cos it's strictly increasing ",p --> q,A,Y,,,S1B-013 024
res,So if it's continuous you can't jump up like that ,p --> q,A,Y,,,S1B-013 029
ifh, you're allowed to draw a picture if you want ,q,D,N,,,S1B-013 078
res, If this was A level you'd be writing it out ,q',D,Y,tell me what you'd write out,,S1B-013 091
inf,(098) when do you know a differentiable function is increasing? (099) Oh if it's less than nought ,p,A,Y,,,S1B-013 097
inf, If when you differentiate ,p --> q',A,Y,"if you differentiate and it's less than nought, you know it's increasing",no consequent,S1B-013 098
res, if X equals nought that doesn't matter ,p --> q,A,Y,,,S1B-013 103
ifh, if you like here's your first bar along here ,q,A,N,,,S1B-013 112
inf," if it was FA, and FB, and gamma stuck in the middle or C stuck in the middle right then you know there must be a value ",p --> q,A,Y,,,S1B-013 145
tm," if you have a continuous function when you apply it to an interval, it goes to an interval ",p --> q,A,Y,,,S1B-013 149
pch, If you like all that's saying is...if you were innocent and you wanted to prove that you'd say...,q,A,N,,,S1B-013 153
res, if you were innocent and you wanted to prove that you'd say (154) well every particular number has a cubed root ,p --> q,A,Y,,,S1B-013 153
inf, If I know F is continuous (195) what can I say about F minus one? ,p --> q,D,Y,,,S1B-013 193
inf, if you have a function from interval A to interval B which is a bijection then the inverse function will be continuous ,p --> q,A,Y,,,S1B-013 200
inf, If this is continuous then the inverse function is continuous ,p --> q,A,Y,,,S1B-013 201
inf,Now if it's differentiable what can you say about F minus one? ,p --> q,D,Y,,,S1B-013 205
ifh,So when you differentiate F minus one if you like you can look at Y is equal to FX and therefore you have X is equal to F to the minus one Y ,q,A,N,,,S1B-013 213
ifh," If you like DY by DX of F minus one X, is one over F dash of minus one of X at that point ",q,A,N,,,S1B-013 219
tm, If you look at theorem minus three it says it is differentiable provided the derivative of that point is non-zero ,p --> q,A,N,,,S1B-013 227
ifh,And of course there again the other form that's worth looking at is is is sort of `typecasting' if you like ,q,A,N,,,S1B-014 142
tm," it's like if you imagine in present day terms going to King's Cross with all these <unclear-words> coming off the train <unclear-word> <unclear-word> from Scotland, and then the vicar totally ignoring the sort of moral danger they're in ",q,A,N,,,S1B-014 147
pch, it's a if you like a meditation on pretence and vanity ,q,A,N,,,S1B-014 206
inf, it's something that we'll have to bear in mind for future years if the tutorials during the course are not ,q,C,Y,,,S1B-015 010
res, if I need some help could I still come? ,p --> q,D,Y,,,S1B-015 021
res, If a photon of light hits the retina what cells does it act on? ,p --> q,D,Y,,question,S1B-015 083
res,So it just improves the image if you have a black surface on which the photo-sensitive elements arrive ,p --> q,A,Y,,,S1B-015 130
res, the only way it could then arrange it if you're going to have processing of the cells is to have the processing cells on top ,p --> q,A,Y,,,S1B-015 131
res, It's that area of the visual field where if it's activated the ganglion cell will fire ,q,A,Y,,,S1B-015 145
res, if it's shone around from there the cell will be inhibited ,p --> q,A,Y,,,S1B-015 151
res,(153) You don't have a single photoreceptor going to a single bipolar cell going to a single ganglion (154) If you had that you wouldn't have these receptor fields would you ,p',A,Y,,,S1B-015 154
tm," if I mapped out your visual field as a small little object, carefully mapping out there's a point in your receptor field but you will not see that small object ",q,A,N,,,S1B-015 173
tm, If you look in a camera with a lens what happens to the image (202) it's turned upside down and back to front ,p --> q,A,Y,,,S1B-015 201
inf," If you say something is influenced by nature what is it, how does it work, and how can we test it? ",p --> q,A,Y,,question,S1B-016 029
inf, If people can just make random assertions about some issue that you can just not possibly go out and do testing on it (033) it's philosophy or something ,p',A,Y,"in psychology, we have to know how to test something",,S1B-016 032
inf, if people just say what they want there's no way of telling what it's like ,p',D,Y,you can't just say what you want: you have to test your assertions,,S1B-016 036
inf, if there is a mixture how does it happen? ,p --> q,A,Y,,,S1B-016 060
res," If I say that someone's heart rate is rapidly increasing because they believe they're going to die you have on the one hand the physical observation increase in heart rate, on the other hand the inscription, the belief (064) that they're going to die ",p --> q,A,N,,,S1B-016 063
inf, if the two are to interact how can these two languages interact? ,p',A,Y,,,S1B-016 072
inf, by what means are we going to link them up if we are going to say that there is an interaction? ,p',A,Y,,,S1B-016 074
res, if you've got plenty of food you then grow to be big ,p --> q,A,Y,,,S1B-016 106
res, if you've got plenty of food you then grow to be big if you've got the genes ,p --> q,A,Y,,,S1B-016 106
res, if anyone wants to photocopy THAT they're welcome to photocopy the whole article ,q,D,Y,,,S1B-017 013
dir, If you turn over the page you get a pair of facing pages ,p --> q,D,Y,,,S1B-017 154
dir, if you go over that again you've then got ``find by date results reduced'' ,p --> q,D,Y,,,S1B-017 157
dir,So if I just draw this out ,p,C,N,,no consequent,S1B-017 199
ifh, It's mass times the distance from the centre if one's being pedantic about it ,q,A,N,,,S1B-017 241
dir, the way to look at it is if you compare mass with inertia ,p,D,N,,,S1B-017 262
res, if it was hanging on an a white gallery wall then that would actually affect the painting ,p --> q,A,Y,,,S1B-018 014
res, if it was hanging on a piece of wallpaper that would actually affect the picture ,p --> q,A,Y,,,S1B-018 015
res, it changes to a transparent if you're in the light ,p --> q,A,Y,,,S1B-018 025
res," if I saw them somewhere without, you know, talking about them I mean, I think I'd think they were very much about searching and depths really ",q',A,Y,your art seems to have deep meaning,,S1B-018 039
res, correct me if I'm wrong ,p --> q,D,Y,,,S1B-018 186
res, if you went into a gallery at a certain time of day or you went into a situation it'd look different ,p --> q,A,Y,,,S1B-018 195
tm,"You know if you wanted to actually photograph it what do you photograph it on: a white background, wallpaper or whatever? (198) because there's no one way of representing them at the end of the day ",q',A,Y,there's no way to photograph it,,S1B-018 196
res, It wakes your senses up anyway if you've got a whole load of some vast numbers singing and dancing ,p',A,Y,singing and dancing is used to keep the audience awake,,S1B-019 089
res, it's more dignified if that group is not broken down into individuals ,p --> q,A,Y,,,S1B-019 106
res," if you get the design of the fermentor wrong, the costing wrong then the rest of the process is is a little bit academic isn't it ",p',A,Y,it's important to get the design of the fermentor right,,S1B-020 048
tm,Surely if you went back over the design now and looked for the number of times you used the word `assume' it'd be those assumptions which would be the things that you'd need to pick out in your executive summary ,q,D,N,you need to look at your assumptions,,S1B-020 079
res, if the downstream processing calculations are in error by a certain amount then we can accommodate those sorts of inaccuracies ,p --> q,A,Y,,,S1B-020 099
tm, if I'm going to look for where I'm going to site this plant is there anything that I've got to have available? ,p --> q,D,Y,,question,S1B-020 133
res, If you go towards a more automated plant I think the nature of the skills that the people will be different ,q',D,Y,you need to think about the people you'll be employing,,S1B-020 179
res, What sort of people are you going to be employing if it's going to be an automated plant? ,q,D,Y,,,S1B-020 180
res, If I decided I'm going to put this plant in a Third World country is it going to be as easy for me to find relevant personnel as it is if I'm going to put it in a developed industrialized country like this one ,p --> q,D,Y,,,S1B-020 183
res, is it going to be as easy for me to find relevant personnel as it is if I'm going to put it in a developed industrialized country like this one? ,p --> q,D,Y,,,S1B-020 183
res," If ladies were admitted then hot toilets, bathrooms, showers and certain other rooms would have to be reorganised to meet feminine requirements ",p',A,Y,I don't think ladies should be admitted,,S1B-021 016
inf,Rachel I think you'd probably get away with it if you were not permitted to go into that pavilion ,p',D,Y,don't try and get admitted to the pavilion,,S1B-021 031
res, if all seventeen and a half thousand MALE MCC members turned up at Lord's for one test match somebody would have to be sitting on somebody's lap somewhere ,r,A,Y,there aren't enough seats in the pavilion for all the men,,S1B-021 036
res,You know Rachel you might have a chance if you got that accepted: that that pavilion was sacrosanct to the men ,p',D,Y,you should propose that women aren't admitted to the pavilion,,S1B-021 039
res, If they produce as good a cricketer as you and you took advantage of those nets at Lord's you'd put the fear of God into a few of the players there ,p --> q,A,Y,,,S1B-021 058
res,(060:B) Perhaps there's the fear that if they develop MCC category general membership for women perhaps there might then come the move that a a woman might be (061:A) Captain of England! ,p --> q,A,Y,,,S1B-021 060
res, if I fail in this respect the only other option left to me is I shall have to become Prime Minister ,r,A,Y,it's unfair that the club runs on such principles that the PM gets preferential treatment,,S1B-021 072
res,(077) I'm sure we could develop a very tasteful chiffon scarf of some sort (078) If not I'm sure we could have a very discreet lapel badge or something like that ,q,A,Y,,,S1B-021 078
res, I'll buy you a Cherry B if you are a good boy ,q,C,Y,,,S1B-021 096
inf,(111) Their expectations have not been fully met since March (113) Well if that's true Jackie about consumers that is bad news for the Government's hopes of an upturn ,q,A,Y,,,S1B-021 113
inf,(113) this government has been pinning nearly all its hopes of getting out of the recession on consumer spending (114) But if the high street doesn't show any sign of that how and when are we going to come out of this recession? ,q',A,Y,I'm worried that we won't get out of the recession,,S1B-021 114
pch, If anything their prospects are less optimistic than the service sector industries ,q,A,Y,,if anything,S1B-021 122
inf,"And if there's going to be any CONSERVATIVE criticism of support for the arts on purely monetarist Thatcherite principles, the arts is the best investment we can possibly have ",q',A,N,the Conservatives should support the arts,,S1B-022 041
tm,And if you look at boroughs the boroughs in London are suffering from both charge-capping and from spending limits ,q,A,N,,,S1B-022 135
res, it's assumed if you work for the Royal Shakespeare Company that you've read the play or seen the play or even collaborated on a previous production ,q,A,Y,,,S1B-023 057
res,maybe if we adapted it and we used a slightly different rhythmic quality to it we could place it somewhere else ,p --> q,C,Y,,,S1B-023 091
res,I think the the secret for a director if he wants to talk to a musician is actually putting the right penny in the right slot and making a suggestion ,q,A,Y,,,S1B-023 095
res,Like if someone says ``a medieval fascist fanfare'' you know what it is ,r,A,Y,it's important to understand one another,,S1B-023 097
ifh, Heather Couper what's your view of the `upfront fighting' if we can use that clumsy awkward ,q,A,N,,,S1B-024 024
ifh,"<laughter> If I can partly misquote John and say, yes indeed it adds to the gaiety of the country ",q,A,N,,,S1B-024 026
ifh,Michael when does the rot set in? if there is a rot ,q,D,Y,,question,S1B-024 083
inf, Well it's extraordinary how little they succeed if that's what they set out to do ,p',A,Y,I don't believe that's what they set out to do,,S1B-024 098
res,Drugs are beginning to be a problem at Westminster and if we close our eyes to it I think we just miss the point ,p',A,Y,we mustn't ignore it,,S1B-024 128
ifh, I mean you can talk historically if you wish ,q,D,Y,,,S1B-024 133
